,datetime,power
259,2020-01-06 09:30:00,450.895
260,2020-01-06 10:00:00,542.414
261,2020-01-06 10:30:00,574.194
262,2020-01-06 11:00:00,605.974
263,2020-01-06 11:30:00,621.9145
264,2020-01-06 12:00:00,637.855
265,2020-01-06 12:30:00,505.6755
266,2020-01-06 13:00:00,373.496
267,2020-01-06 13:30:00,336.371
268,2020-01-06 14:00:00,299.246
269,2020-01-06 14:30:00,222.229
270,2020-01-06 15:00:00,145.21200000000002
271,2020-01-06 15:30:00,76.0485
272,2020-01-06 16:00:00,6.885
273,2020-01-06 16:30:00,3.4425
274,2020-01-06 17:00:00,0.0
275,2020-01-06 17:30:00,0.0
276,2020-01-06 18:00:00,0.0
277,2020-01-06 18:30:00,0.0
278,2020-01-06 19:00:00,0.0
279,2020-01-06 19:30:00,0.0
280,2020-01-06 20:00:00,0.0
281,2020-01-06 20:30:00,0.0
282,2020-01-06 21:00:00,0.0
283,2020-01-06 21:30:00,0.0
284,2020-01-06 22:00:00,0.0
285,2020-01-06 22:30:00,0.0
286,2020-01-06 23:00:00,0.0
287,2020-01-06 23:30:00,0.0
288,2020-01-07 00:00:00,0.0
289,2020-01-07 00:30:00,0.0
290,2020-01-07 01:00:00,0.0
291,2020-01-07 01:30:00,0.0
292,2020-01-07 02:00:00,0.0
293,2020-01-07 02:30:00,0.0
294,2020-01-07 03:00:00,0.0
295,2020-01-07 03:30:00,0.0
296,2020-01-07 04:00:00,0.0
297,2020-01-07 04:30:00,0.0
298,2020-01-07 05:00:00,0.0
299,2020-01-07 05:30:00,0.0
300,2020-01-07 06:00:00,0.0
301,2020-01-07 06:30:00,71.4775
302,2020-01-07 07:00:00,142.955
303,2020-01-07 07:30:00,494.8735
304,2020-01-07 08:00:00,846.7919999999999
305,2020-01-07 08:30:00,1142.6195
306,2020-01-07 09:00:00,1438.447
307,2020-01-07 09:30:00,1685.9055
308,2020-01-07 10:00:00,1933.364
309,2020-01-07 10:30:00,1853.8745
310,2020-01-07 11:00:00,1774.385
311,2020-01-07 11:30:00,1342.3225
